isbn,title,author,publisher,price,wholesaler_name,purchase_type,quantity,unit_cost,received_date,consignment_deadline
'9787540720759,プレゼン術の教科書,森詩織,青葉館,1770,日販,委託,3,1254,2026-04-23,2026-10-06
'9784791889570,図解 生成AI活用入門,霧島 湊,清流出版社,1730,地方・小出版流通センター,買切,20,1292,2026-07-11,
'9787336882838,礼文島、季節の情景,星野 燈,白鷺文庫,3500,トーハン,買切,18,2470,2026-06-25,
'9782290044223,ブランディング大全,朝比奈 湊,翠嵐堂,1430,トーハン,買切,14,995,2026-05-13,
'9788043858178,ふくろうとふしぎな時計のひみつ,霧島 帳,蒼穹堂,1000,日販,買切,19,726,2026-04-16,
'9784502831669,名もなき旅の秘密,吉田大輔,銀河舎,870,地方・小出版流通センター,買切,12,614,2026-06-05,
'9787897133110,ヨガのコツ,水無月 碧,青葉館,1470,日販,買切,5,1024,2026-04-24,
'9784456078745,2025年度版 宅建士試験 完全対策,岡田結衣,満月舎,2410,日販,委託,18,1563,2026-06-12,2026-08-01
'9787758881440,静かな喫茶店の結末,岩崎詩織,蒼穹書房,900,日販,買切,11,558,2026-07-01,
'9786128400199,灰色ドミノ 第5巻,遠藤大輔,翠嵐堂,510,地方・小出版流通センター,買切,11,338,2026-05-13,
'9783927319790,一人暮らしのコツ,鈴木陸,翠嵐出版社,1490,トーハン,買切,17,964,2026-05-20,
'9789059828193,毎日の刺繍レシピ,朝比奈 紬,銀河出版,1270,日販,委託,14,838,2026-07-14,2026-08-26
'9784284514200,10分でわかるブランディング,遠藤陸,翠嵐出版社,1800,日販,委託,7,1255,2026-05-14,2026-07-06
'9782143049078,民俗学全史,太田悠真,丘上館,1190,トーハン,買切,2,810,2026-06-15,
'9788671300667,青の音符 第6巻,福田誠,茜色出版社,560,大阪屋栗田,委託,6,375,2026-07-12,2026-09-13
'9789837252783,小さな傘のうた,岩崎隆,茜色出版社,920,大阪屋栗田,買切,19,554,2026-06-12,
'9783163499928,1分でわかるブランディング,遠藤凛,丘上館,1460,トーハン,買切,6,1008,2026-05-11,
'9787112098422,一人暮らしの基本,岡田健,白鷺文庫,1600,日販,買切,4,983,2026-06-03,
'9787164774473,ふくろうと空とぶ本のひみつ,堀内陽子,銀河舎,1010,トーハン,買切,10,713,2026-05-24,
'9783521362956,天球儀の街 第7巻,三浦涼,銀河出版,660,大阪屋栗田,買切,15,420,2026-05-10,
'9784093426923,今日からできるおつまみ,鈴木凛,満月舎,1520,大阪屋栗田,買切,14,963,2026-04-17,
'9788849855685,できる人のロジカルシンキング,林真央,銀河舎,1770,地方・小出版流通センター,買切,1,1090,2026-06-17,
'9782796726838,パン作りのコツ,中村隆,蒼穹書房,1580,大阪屋栗田,買切,4,1046,2026-06-03,
'9784011527619,令和幽霊譚 第18巻,中村健,青葉出版社,550,トーハン,買切,15,408,2026-07-02,
'9788621076178,青の音符 第16巻,村上太郎,緑陰出版,570,日販,買切,18,386,2026-05-21,
'9781520299440,知床、季節の情景,高橋蒼太,朝霧出版社,4120,日販,買切,20,2635,2026-05-21,
'9789943982864,できる人のブランディング,斎藤陸,青葉館,1850,地方・小出版流通センター,買切,17,1195,2026-06-11,
'9784193039955,うさぎと不思議な森のたび,岡田茜,銀河出版社,1060,大阪屋栗田,委託,14,756,2026-05-18,2026-11-09
'9786505654702,今日からできる発酵食,三浦美咲,銀河舎,1700,日販,買切,11,1130,2026-05-26,
'9784403301322,冬の日の港の結末,太田葵,白鷺文庫,630,大阪屋栗田,買切,14,399,2026-04-17,
'9781119602781,ひつじと小さな灯りのひみつ,松本結衣,翠嵐館,1260,大阪屋栗田,買切,18,787,2026-05-25,
'9780179677203,交渉術の教科書,太田結衣,満月舎,1490,トーハン,買切,10,900,2026-07-01,
'9783761561058,刀と花 第9巻,伊藤翔太,丘上出版社,610,日販,委託,3,429,2026-05-16,2026-07-20
'9782238416495,潮騒ノート 第7巻,青木大輔,青葉出版社,640,トーハン,買切,10,460,2026-05-07,
'9780853470427,会計大全,村上悠真,青葉出版社,1700,大阪屋栗田,買切,5,1267,2026-04-16,
'9780146133800,深夜の記憶の物語,西村翔太,翠嵐出版社,860,大阪屋栗田,買切,20,544,2026-05-30,
'9789776055384,天文学の謎,佐藤陽子,朝霧出版社,1140,日販,買切,2,764,2026-04-21,
'9787615141366,図解 行動心理学入門,鈴木陽子,陽光舎,1730,地方・小出版流通センター,買切,13,1272,2026-04-23,
'9782394246462,2026年度版 FP技能検定3級 完全対策,菅原誠,銀河舎,2540,地方・小出版流通センター,買切,11,1896,2026-06-14,
'9785813421723,図解 資本主義入門,清水花子,陽光舎,1580,日販,買切,9,1145,2026-05-16,
'9785168865616,眩しい灯台のノート,朝比奈 綴,茜色出版社,800,トーハン,買切,9,481,2026-06-08,
'9782947478180,眩しい傘の物語,藤田茜,銀河出版,950,日販,委託,1,579,2026-07-12,2026-08-21
'9785200700912,はじめての筋トレ,松本結衣,清流出版,1220,大阪屋栗田,買切,7,738,2026-05-08,
'9788778166111,図解 資本主義入門,朝比奈 帳,清流出版,1720,トーハン,委託,2,1251,2026-07-14,2026-08-13
'9780426371670,冬の日の約束の肖像,小林陽子,朝霧出版社,880,日販,買切,3,631,2026-04-28,
'9787705792997,遠い記憶の秘密,渡辺結衣,翠嵐出版社,860,日販,買切,4,533,2026-05-01,
'9789914706758,図解 ブランディング入門,石川さくら,白鷺出版,1650,地方・小出版流通センター,買切,17,1026,2026-06-04,
'9789734812417,毎日のキャンプ料理レシピ,村上凛,銀河出版,1290,トーハン,買切,20,927,2026-06-22,
'9780824220426,ぬか漬けのコツ,菅原花子,白鷺文庫,1640,大阪屋栗田,買切,2,1199,2026-04-23,
'9781889870410,できる人のプレゼン術,加藤陸,茜色出版社,1510,地方・小出版流通センター,買切,14,1071,2026-06-20,
'9787827608213,たぬきと小さな灯りの冒険,長谷川大輔,翠嵐館,1290,日販,買切,5,815,2026-05-24,
'9789695343272,図解 会計入門,水無月 燈,白鷺出版,1430,日販,買切,16,1065,2026-05-15,
'9781124335162,発酵食の基本,三浦詩織,翠嵐舎,1690,日販,買切,7,1041,2026-07-05,
'9780302250211,毎日の一人暮らしレシピ,清水陽子,銀河舎,1280,大阪屋栗田,委託,17,957,2026-06-08,2026-07-12
'9788238613520,きつねとふしぎな時計のものがたり,太田栞,銀河出版社,1440,地方・小出版流通センター,買切,18,964,2026-05-25,
'9780405424687,ひつじとふしぎな時計のひみつ,日向 碧,清流出版社,1040,トーハン,買切,16,672,2026-04-25,
'9787660471395,資産形成大全,藤田隆,蒼穹書房,1400,地方・小出版流通センター,買切,14,895,2026-06-16,
'9783387926873,蒼穹のクロニクル 第13巻,菅原湊,丘上出版社,450,トーハン,買切,1,291,2026-05-06,
'9783266075685,天球儀の街 第12巻,風間 律,翠嵐館,590,トーハン,買切,8,404,2026-06-23,
'9782098769533,たぬきと空とぶ本の冒険,夜守 朔,翠嵐出版社,1380,地方・小出版流通センター,買切,1,834,2026-05-10,
'9782207016923,気候変動の謎,田中健,翠嵐堂,1090,トーハン,買切,9,689,2026-05-16,
'9787466432316,今日からできるスパイスカレー,伊藤翔太,翠嵐堂,1430,トーハン,委託,10,922,2026-04-23,2026-08-31
'9787252189905,瀬戸内紀行 写真集,冬野 碧,翠嵐出版社,3560,トーハン,委託,6,2384,2026-07-03,2026-09-19
'9781294715023,深海探偵局 第12巻,朝比奈 帳,蒼穹堂,530,トーハン,買切,11,357,2026-05-11,
'9783717634522,はじめてのお弁当,高橋太郎,青葉出版社,1380,大阪屋栗田,買切,10,913,2026-05-02,
'9786584500747,ねこと魔法のスープのひみつ,井上陽子,清流出版,1040,大阪屋栗田,買切,9,743,2026-07-11,
'9788378195962,小さな喫茶店の物語,星野 楓,清流出版社,790,地方・小出版流通センター,買切,4,591,2026-05-13,
'9785392102549,放課後のミステリー 第6巻,福田葵,満月舎,670,日販,買切,20,435,2026-07-05,
'9784237336972,銀色のカルテ 第14巻,加藤美咲,清流出版社,580,大阪屋栗田,買切,17,349,2026-05-01,
'9784980655856,図解でわかる天文学,近藤真央,青葉出版社,1180,地方・小出版流通センター,委託,9,713,2026-05-31,2026-08-24
'9785750694266,深海探偵局 第18巻,井上杏,清流出版,460,地方・小出版流通センター,買切,3,339,2026-06-16,
'9780747776383,天球儀の街 第3巻,清水蒼太,青葉出版社,600,地方・小出版流通センター,委託,8,418,2026-04-22,2026-09-08
'9789563143959,一気にわかる天文学,夜守 紬,若草出版社,1090,地方・小出版流通センター,買切,16,677,2026-04-17,
'9784664122025,百鬼夜行堂 第18巻,藤井真央,翠嵐舎,490,大阪屋栗田,委託,15,350,2026-04-19,2026-06-04
'9787688784996,天球儀の街 第4巻,前田湊,茜色出版社,590,大阪屋栗田,買切,1,420,2026-05-29,
'9784836708873,令和幽霊譚 第3巻,森蒼太,翠嵐出版社,580,日販,買切,9,393,2026-06-19,
'9786403201916,毎日の水彩画レシピ,星野 紬,茜色出版社,1220,大阪屋栗田,買切,16,881,2026-05-16,
'9788545791010,一気にわかるAIの未来,井上蒼,陽光舎,1180,トーハン,買切,3,876,2026-06-09,
'9785143511590,サブスク経営思考,森蒼太,蒼穹堂,1440,大阪屋栗田,委託,7,893,2026-07-03,2026-10-10
'9785287713270,図解 マーケティング入門,清水詩織,緑陰出版,1730,トーハン,買切,7,1253,2026-06-06,
'9783359183815,深海探偵局 第11巻,山口蒼太,青葉出版社,540,地方・小出版流通センター,買切,16,330,2026-06-27,
'9785204265110,2027年度版 ITパスポート試験 完全対策,前田誠,陽光舎,2380,日販,買切,3,1445,2026-05-29,
'9782865946051,ぬか漬けのコツ,夜守 紬,青葉出版社,1390,地方・小出版流通センター,買切,12,1034,2026-05-18,
'9782234888302,図解でわかる宇宙,鈴木蒼,翠嵐出版社,1180,トーハン,買切,17,850,2026-06-18,
'9780590619226,尾道、季節の情景,林涼,清流出版社,3220,地方・小出版流通センター,買切,12,1970,2026-05-03,
'9785593929815,令和幽霊譚 第14巻,水無月 律,蒼穹書房,500,日販,買切,15,327,2026-05-23,
'9788057860518,図解でわかる天文学,中村詩織,朝霧出版,1060,トーハン,買切,18,764,2026-04-15,
'9782575370733,小さな坂道の物語,遠藤結衣,清流出版,680,地方・小出版流通センター,買切,9,441,2026-05-12,
'9784368043107,交渉術思考,小林悠真,緑陰出版,1610,日販,委託,5,1182,2026-05-25,2026-09-18
'9787675260588,うさぎと雲のパン屋のプレゼント,松本茜,翠嵐出版社,1140,トーハン,買切,1,850,2026-05-18,
'9787091317576,雨上がりの図書館のうた,岡田浩二,丘上出版社,770,地方・小出版流通センター,買切,17,489,2026-05-20,
'9788917760347,2027年度版 基本情報技術者試験 完全対策,鈴木詩織,緑陰出版,2150,トーハン,委託,11,1376,2026-05-17,2026-09-08
'9784773337433,今日からできる筋トレ,風間 楓,銀河出版,1260,日販,買切,17,910,2026-06-14,
'9783178205408,ひつじと秘密の地図の冒険,福田隆,蒼穹堂,1010,地方・小出版流通センター,買切,10,645,2026-04-21,
'9783173675121,2027年度版 宅建士試験 完全対策,橋本詩織,白鷺出版,2160,大阪屋栗田,委託,5,1532,2026-07-09,2026-08-29
'9782026627973,プレゼン術大全,高橋浩二,銀河出版,1770,地方・小出版流通センター,委託,3,1175,2026-05-06,2026-06-30
'9789840993796,もぐらと願いの種のプレゼント,前田翔太,陽光舎,1410,日販,買切,15,870,2026-05-05,
'9784807826957,気候変動全史,斎藤結衣,丘上出版社,850,トーハン,買切,4,582,2026-07-09,
'9787638653518,くまと願いの種のたび,日向 碧,青葉出版社,1460,トーハン,買切,2,931,2026-04-29,
'9789791622622,10分でわかる統計学,福田涼,陽光舎,1710,大阪屋栗田,買切,9,1172,2026-06-28,
'9788452225042,世界経済の謎,鈴木詩織,清流出版社,970,大阪屋栗田,買切,3,700,2026-06-25,
'9781683995685,天文学全史,高橋健,翠嵐舎,1010,日販,買切,11,729,2026-06-08,
'9787875300503,誰も知らない駅の地図,三浦涼,蒼穹堂,940,日販,買切,3,565,2026-07-02,
'9780232093063,おつまみの基本,林健,蒼穹堂,1690,地方・小出版流通センター,買切,18,1193,2026-04-23,
'9782045331615,銀色のカルテ 第9巻,松本誠,蒼穹書房,560,日販,買切,3,411,2026-07-04,
'9782066612052,図解でわかる民俗学,佐藤湊,蒼穹堂,880,日販,買切,12,586,2026-07-06,
'9782652491382,眩しい傘の始まり,井上花子,緑陰出版,810,トーハン,買切,16,497,2026-06-20,
'9783928510028,深海探偵局 第6巻,清水一郎,清流出版,470,トーハン,買切,16,333,2026-06-25,
'9781083579997,一気にわかる世界経済,松本真央,翠嵐館,1060,大阪屋栗田,買切,4,775,2026-07-01,
'9781168728548,深夜の花束の続き,中村楓,青葉出版社,710,日販,委託,4,520,2026-05-25,2026-09-04
'9785584195700,令和幽霊譚 第9巻,柴田さくら,丘上出版社,510,大阪屋栗田,委託,3,371,2026-07-01,2026-12-03
'9780147849922,古びた町の約束事,高橋茜,翠嵐出版社,610,大阪屋栗田,買切,8,396,2026-07-10,
'9781919652009,DX戦略思考,森誠,翠嵐館,1880,地方・小出版流通センター,買切,4,1230,2026-06-06,
'9789770533659,はじめての発酵食,雨宮 帳,銀河舎,1480,大阪屋栗田,委託,2,998,2026-07-13,2026-08-15
'9781537910178,誰も知らない灯台の約束事,橋本陸,丘上館,780,日販,買切,5,534,2026-06-13,
'9781313900263,15分でわかる組織開発,冬野 朔,茜色出版社,1800,トーハン,買切,13,1311,2026-06-29,
'9783249656795,銀色のカルテ 第15巻,小林誠,白鷺出版,670,日販,買切,15,499,2026-06-28,
'9785755090087,図解 行動心理学入門,堀内健,蒼穹書房,1610,日販,買切,15,1013,2026-04-30,
'9784405143814,今日からできるカメラ,松本花子,陽光舎,1370,日販,買切,4,856,2026-05-05,
'9780856903632,図解 副業戦略入門,石川葵,陽光舎,1820,地方・小出版流通センター,買切,7,1106,2026-07-01,
'9786167650524,はじめてのスパイスカレー,水無月 碧,丘上館,1620,地方・小出版流通センター,買切,17,1068,2026-05-05,
'9782376858348,宅建士試験 完全対策,井上悠真,清流出版社,2350,地方・小出版流通センター,委託,2,1736,2026-06-24,2026-08-31
'9789613178573,静かな庭の記録,清水涼,蒼穹堂,930,大阪屋栗田,買切,6,670,2026-04-19,
'9782853959896,名もなき手紙の地図,田中陽子,満月舎,810,日販,買切,15,556,2026-07-13,
'9782775216213,組織開発大全,風間 綴,翠嵐堂,1840,大阪屋栗田,委託,13,1197,2026-06-12,2026-10-27
'9782055489580,毎日の収納術レシピ,渡辺詩織,朝霧出版社,1630,トーハン,買切,19,1070,2026-05-27,
'9784950713531,ひつじと秘密の地図のものがたり,長谷川さくら,陽光舎,1470,地方・小出版流通センター,委託,18,1072,2026-07-08,2026-09-06
'9787359648527,家計管理のコツ,小林陽子,翠嵐舎,1470,大阪屋栗田,買切,16,901,2026-07-01,
'9780052490073,図解 交渉術入門,山本蒼,丘上出版社,1450,日販,買切,10,880,2026-05-13,
'9784448607199,今日からできるスパイスカレー,渡辺さくら,翠嵐出版社,1370,大阪屋栗田,買切,4,877,2026-06-15,
'9780254412118,十六夜のバトン 第1巻,柴田涼,朝霧出版,440,大阪屋栗田,買切,2,281,2026-05-07,
'9787901125155,砂上のグランドライン 第15巻,斎藤杏,翠嵐出版社,560,大阪屋栗田,買切,13,375,2026-05-04,
'9786841685965,蒼穹のクロニクル 第8巻,日向 楓,翠嵐出版社,630,日販,買切,19,410,2026-07-09,
'9780546598650,日本の祭りの謎,西村大輔,青葉館,1010,日販,買切,15,685,2026-06-03,
'9783812963473,観葉植物のコツ,中村陸,清流出版社,1520,地方・小出版流通センター,委託,6,974,2026-07-06,2026-12-02
'9784389032708,ぬか漬けのコツ,林太郎,陽光舎,1310,地方・小出版流通センター,委託,19,814,2026-06-24,2026-09-28
'9783298968672,雨上がりの庭の記録,橋本浩二,茜色出版社,770,日販,買切,20,541,2026-06-01,
'9780739292396,見えない喫茶店の続き,田中茜,陽光舎,820,地方・小出版流通センター,委託,9,595,2026-05-13,2026-11-06
'9786683149854,見えない庭の始まり,佐藤翔太,茜色出版社,790,日販,買切,8,516,2026-06-23,
'9788463121272,もぐらと秘密の地図のものがたり,伊藤一郎,蒼穹堂,1300,大阪屋栗田,買切,12,799,2026-04-16,
'9782925790815,天球儀の街 第6巻,風間 蒼,茜色出版社,540,大阪屋栗田,買切,14,326,2026-05-07,
'9780222324566,図解 マーケティング入門,橋本健,清流出版,1460,トーハン,買切,10,1017,2026-07-01,
'9782943214454,奥飛騨、季節の情景,太田陸,朝霧出版,3020,トーハン,買切,8,2033,2026-06-06,
'9788501228222,古びた坂道の結末,水無月 帳,清流出版社,870,大阪屋栗田,買切,19,527,2026-06-20,
'9785908554794,古びた写真の行方,菅原さくら,丘上館,610,大阪屋栗田,買切,14,394,2026-06-05,
'9781320765367,図解 資産形成入門,伊藤栞,蒼穹堂,1750,大阪屋栗田,買切,9,1285,2026-04-27,
'9784606542683,誰も知らない記憶の使者,渡辺栞,蒼穹書房,800,日販,買切,11,486,2026-05-20,
'9780213311148,ガーデニングのコツ,菅原栞,銀河出版社,1510,日販,買切,14,972,2026-06-18,
'9783086943294,ひつじと願いの種のひみつ,西村さくら,翠嵐舎,1210,日販,買切,13,753,2026-07-14,
'9781391412320,放課後のミステリー 第3巻,太田結衣,清流出版,640,トーハン,委託,13,445,2026-06-13,2026-10-24
'9788764807615,DX戦略の教科書,岩崎悠真,清流出版社,1470,地方・小出版流通センター,買切,16,910,2026-05-31,
'9784766776348,哲学の謎,井上陸,丘上館,990,大阪屋栗田,委託,3,690,2026-04-23,2026-07-21
'9785446443321,鉄輪のワルツ 第1巻,中村翔太,蒼穹堂,510,大阪屋栗田,委託,6,307,2026-05-15,2026-06-30
'9783627030469,西表島紀行 写真集,橋本陽子,若草出版社,4500,トーハン,委託,14,3236,2026-06-19,2026-12-16
'9782640886213,ねこと願いの種のたび,小林楓,白鷺文庫,1310,大阪屋栗田,買切,5,814,2026-06-30,
'9780229858880,潮騒ノート 第3巻,霧島 湊,銀河舎,510,トーハン,委託,19,379,2026-04-19,2026-07-19
'9785491465255,図解でわかる宇宙,木村隆,青葉出版社,1200,大阪屋栗田,委託,16,861,2026-04-22,2026-10-06
'9784249158814,うさぎと秘密の地図の冒険,西村悠真,銀河出版社,1310,日販,買切,5,908,2026-04-21,
'9784256493359,戦国時代の謎,遠藤太郎,青葉館,970,地方・小出版流通センター,買切,20,601,2026-05-21,
'9780293258388,2027年度版 英検2級 完全対策,岡田美咲,丘上出版社,2610,トーハン,委託,18,1789,2026-06-05,2026-11-19
'9787338366206,漢字検定準2級 完全対策,朝比奈 朔,満月舎,2210,日販,買切,16,1499,2026-07-08,
'9784210377855,終電サーカス 第8巻,遠藤湊,青葉出版社,440,日販,買切,15,272,2026-06-02,
'9788468350400,うさぎと雲のパン屋のたび,朝比奈 楓,翠嵐舎,1260,地方・小出版流通センター,買切,1,799,2026-06-07,
'9788453810599,刀と花 第7巻,高橋誠,青葉館,570,トーハン,買切,8,353,2026-04-26,
'9786030857630,記憶の中の写真の使者,青木茜,翠嵐舎,690,大阪屋栗田,買切,5,442,2026-07-03,
'9783248340787,天文学の謎,雨宮 燈,清流出版社,1120,トーハン,買切,6,733,2026-06-08,
'9780537374003,静かな港の地図,山口杏,翠嵐館,910,大阪屋栗田,買切,7,625,2026-06-08,
'9781505017144,記憶の中の花束の使者,鈴木栞,青葉出版社,760,大阪屋栗田,買切,6,495,2026-06-26,
'9786941683700,小笠原諸島を歩く,森詩織,銀河舎,4100,トーハン,買切,15,3058,2026-04-25,
'9789958470264,毎日の収納術レシピ,藤田真央,蒼穹堂,1440,日販,買切,20,945,2026-06-22,
'9787751519746,星屑ダイナー 第16巻,岩崎蒼太,清流出版,480,トーハン,委託,14,331,2026-05-31,2026-11-15
'9783508472388,毎日の時短家事レシピ,中村誠,朝霧出版,1650,大阪屋栗田,買切,20,1216,2026-06-22,
'9782297779760,時短家事の基本,前田由美,朝霧出版社,1650,地方・小出版流通センター,買切,17,1100,2026-04-23,
'9787012502999,見えない電話のうた,山口浩二,若草出版社,840,大阪屋栗田,委託,1,510,2026-05-08,2026-11-02
'9787699811919,刀と花 第6巻,石川陽子,清流出版,470,日販,買切,12,341,2026-07-01,
'9787865610063,毎日のぬか漬けレシピ,山本一郎,銀河出版社,1480,トーハン,買切,1,1084,2026-06-13,
'9782570874076,できる人のプレゼン術,橋本涼,蒼穹書房,1490,トーハン,買切,7,946,2026-06-25,
'9781960134042,2026年度版 統計検定3級 完全対策,西村美咲,翠嵐館,2410,地方・小出版流通センター,買切,17,1456,2026-05-17,
'9786418003499,宅建士試験 完全対策,星野 碧,白鷺文庫,2360,日販,委託,4,1582,2026-06-04,2026-06-11
'9785721624360,一気にわかる感染症,藤井太郎,朝霧出版社,1150,トーハン,買切,2,743,2026-06-23,
'9788177603996,終電サーカス 第5巻,遠藤さくら,朝霧出版社,590,トーハン,買切,17,410,2026-06-04,
'9783042772098,星屑ダイナー 第5巻,山田陽子,青葉館,650,大阪屋栗田,買切,2,419,2026-05-30,
'9785683820800,遠い手紙の使者,近藤太郎,陽光舎,820,トーハン,買切,18,507,2026-07-14,
'9788864211527,図解でわかる天文学,吉田楓,陽光舎,1000,日販,委託,2,660,2026-05-06,2026-06-19
'9787374206177,今日からできる時短家事,岩崎真央,翠嵐館,1470,日販,買切,13,941,2026-07-05,
'9781577631156,はじめての収納術,菅原陸,清流出版社,1460,大阪屋栗田,委託,8,994,2026-05-13,2026-09-08
'9782290777725,百鬼夜行堂 第5巻,朝比奈 帳,茜色出版社,510,大阪屋栗田,買切,9,340,2026-04-18,
'9781112573606,毎日の時短家事レシピ,加藤陽子,翠嵐舎,1530,日販,委託,18,964,2026-06-14,2026-09-11
'9781967074402,一気にわかる哲学,吉田花子,翠嵐堂,1020,日販,買切,20,655,2026-05-01,
'9782389987677,発酵食の基本,長谷川陽子,清流出版社,1550,地方・小出版流通センター,買切,5,1050,2026-05-15,
'9789005925655,時短家事のコツ,森陸,陽光舎,1270,大阪屋栗田,買切,15,811,2026-05-05,
'9783710239328,誰も知らない灯台の肖像,冬野 碧,清流出版社,760,地方・小出版流通センター,買切,14,459,2026-06-19,
'9789406080410,2027年度版 登録販売者試験 完全対策,太田大輔,青葉出版社,2570,大阪屋栗田,買切,17,1631,2026-04-26,
'9784256776957,灰色ドミノ 第2巻,高橋陸,銀河出版,650,日販,委託,17,482,2026-05-01,2026-10-07
'9787811585605,毎日の時短家事レシピ,夜守 楓,翠嵐館,1290,地方・小出版流通センター,買切,9,823,2026-06-02,
'9784149505497,脳科学全史,松本杏,銀河出版社,950,トーハン,買切,13,670,2026-05-18,
'9785797379119,冬の日の手紙のうた,近藤楓,若草出版社,840,大阪屋栗田,買切,19,535,2026-07-01,
'9785869158932,灰色ドミノ 第14巻,小林蒼太,清流出版社,660,地方・小出版流通センター,買切,16,406,2026-07-09,
'9781120831149,くまと願いの種のものがたり,中村詩織,白鷺文庫,1250,大阪屋栗田,買切,15,878,2026-07-04,
'9785323279470,生成AI活用思考,柴田杏,清流出版社,1650,トーハン,買切,15,1029,2026-05-09,
'9784386150863,最後の灯台の行方,藤田陸,丘上出版社,630,地方・小出版流通センター,買切,19,395,2026-04-23,
'9781259138904,うさぎとふしぎな時計のひみつ,藤井美咲,翠嵐出版社,1200,日販,買切,1,811,2026-06-01,
'9786299570219,誰も知らない庭の迷宮,木村杏,陽光舎,800,大阪屋栗田,買切,11,547,2026-05-26,
'9784025548693,冬の日の手紙の行方,斎藤一郎,蒼穹堂,810,大阪屋栗田,買切,8,490,2026-04-30,
'9789986121138,銀色のカルテ 第14巻,月城 碧,白鷺文庫,620,日販,買切,14,425,2026-06-10,
'9781340164058,遠い花束の始まり,石川さくら,清流出版社,600,大阪屋栗田,買切,11,411,2026-06-28,
'9785654055477,ぞうと虹色の傘のひみつ,井上栞,茜色出版社,1070,日販,買切,11,694,2026-06-12,
'9782332567109,15分でわかる時間管理,朝比奈 紬,白鷺出版,1690,大阪屋栗田,委託,17,1080,2026-05-18,2026-08-24
'9785776097300,うさぎと小さな灯りのひみつ,霧島 碧,翠嵐舎,1220,トーハン,買切,2,758,2026-04-19,
'9783714413458,プレゼン術大全,井上蒼,清流出版社,1720,トーハン,買切,18,1192,2026-06-04,
'9781222104974,たぬきと秘密の地図のプレゼント,日向 綴,銀河出版,1220,地方・小出版流通センター,買切,1,771,2026-06-10,
'9787107250118,2027年度版 TOEIC 900点突破 完全対策,岩崎誠,丘上出版社,1930,トーハン,買切,16,1440,2026-06-10,
'9780617186175,静かな鍵の迷宮,前田美咲,丘上館,800,日販,買切,3,485,2026-07-04,
'9788187222651,組織開発大全,井上茜,朝霧出版社,1620,大阪屋栗田,買切,10,1195,2026-05-27,
